#...i    step           time                          C_v                     C_i                    C_2i                   rho_N                     C_I                     d_J
    72      710  7.100000000000005E-001     1.281863707603016E-001  1.561257247274088E-001  3.808274077283100E-001  8.988120044555727E-001  5.033020706290417E-002  2.615892761646153E+000
    73      720  7.200000000000005E-001     1.288837451111829E-001  1.561984195054825E-001  3.788875499827629E-001  8.939630481538341E-001  4.918759218522934E-002  2.649320627791857E+000
    74      730  7.300000000000005E-001     1.295734291704555E-001  1.562728522207121E-001  3.770112839569834E-001  8.891211040568726E-001  4.810640058715243E-002  2.681968134908984E+000
    75      740  7.400000000000005E-001     1.302552011644544E-001  1.563488069854950E-001  3.751964573461516E-001  8.842876721337213E-001  4.708369607118620E-002  2.713796001452298E+000
    76      750  7.500000000000006E-001     1.309288654271559E-001  1.564260863781288E-001  3.734409911918693E-001  8.794641976033633E-001  4.611664553037732E-002  2.744769526462834E+000
    77      760  7.600000000000006E-001     1.315942504791435E-001  1.565045097794128E-001  3.717428775050678E-001  8.746520712730388E-001  4.520251729158908E-002  2.774858760491631E+000
    78      770  7.700000000000006E-001     1.322512072800277E-001  1.565839118875076E-001  3.701001769556042E-001  8.698526298783222E-001  4.433867952089880E-002  2.804038611932087E+000
    79      780  7.800000000000006E-001     1.328996076344314E-001  1.566641413894999E-001  3.685110166273117E-001  8.650671564384556E-001  4.352259866410622E-002  2.832288888910063E+000
    80      790  7.900000000000006E-001     1.335393427338982E-001  1.567450597706094E-001  3.669735878372399E-001  8.602968806392295E-001  4.275183789805326E-002  2.859594278421134E+000
    81      800  8.000000000000006E-001     1.341703218190997E-001  1.568265402442207E-001  3.654861440177833E-001  8.555429792543436E-001  4.202405557131550E-002  2.885944265823619E+000
    82      810  8.100000000000006E-001     1.347924709485228E-001  1.569084667879438E-001  3.640469986603712E-001  8.508065766147112E-001  4.133700361579657E-002  2.911332999046536E+000
    83      820  8.200000000000006E-001     1.354057318614465E-001  1.569907332727267E-001  3.626545233193732E-001  8.460887451336099E-001  4.068852591378672E-002  2.935759102915860E+000
    84      830  8.300000000000006E-001     1.360100609244831E-001  1.570732426736744E-001  3.613071456748513E-001  8.413905058939698E-001  4.007655660807884E-002  2.959225449815296E+000
    85      840  8.400000000000006E-001     1.366054281522735E-001  1.571559063526887E-001  3.600033476527933E-001  8.367128293024700E-001  3.949911834571822E-002  2.981738893466519E+000
    86      850  8.500000000000006E-001     1.371918162941153E-001  1.572386434043399E-001  3.587416636014579E-001  8.320566358135015E-001  3.895432044884214E-002  3.003309972938094E+000
    87      860  8.600000000000007E-001     1.377692199793644E-001  1.573213800575414E-001  3.575206785224705E-001  8.274227967245100E-001  3.844035700879582E-002  3.023952594082188E+000
    88      870  8.700000000000007E-001     1.383376449154026E-001  1.574040491266108E-001  3.563390263553268E-001  8.228121350427674E-001  3.795550490224979E-002  3.043683695473705E+000
    89      880  8.800000000000007E-001     1.388971071328154E-001  1.574865895062041E-001  3.551953883139795E-001  8.182254264222576E-001  3.749812173035801E-002  3.062522905614332E+000
    90      890  8.900000000000007E-001     1.394476322731773E-001  1.575689457053870E-001  3.540884912742100E-001  8.136634001681409E-001  3.706664368405868E-002  3.080492197695813E+000
    91      900  9.000000000000007E-001     1.399892549155051E-001  1.576510674167909E-001  3.530171062105132E-001  8.091267403051738E-001  3.665958334041280E-002  3.097615547627222E+000
    92      910  9.100000000000007E-001     1.405220179380296E-001  1.577329091173876E-001  3.519800466812573E-001  8.046160867055414E-001  3.627552739639060E-002  3.113918600354807E+000
    93      920  9.200000000000007E-001     1.410459719124393E-001  1.578144296979189E-001  3.509761673609073E-001  8.001320362707820E-001  3.591313434774958E-002  3.129428348773995E+000
    94      930  9.300000000000007E-001     1.415611745281948E-001  1.578955921184450E-001  3.500043626181368E-001  7.956751441618938E-001  3.557113212160533E-002  3.144172828782420E+000
    95      940  9.400000000000007E-001     1.420676900448833E-001  1.579763630878380E-001  3.490635651386821E-001  7.912459250712509E-001  3.524831567198969E-002  3.158180833277611E+000
    96      950  9.500000000000007E-001     1.425655887709087E-001  1.580567127653481E-001  3.481527445918226E-001  7.868448545296690E-001  3.494354454813427E-002  3.171481647186182E+000
    97      960  9.600000000000007E-001     1.430549465670766E-001  1.581366144826213E-001  3.472709063394004E-001  7.824723702418001E-001  3.465574044543253E-002  3.184104804941162E+000
    98      970  9.700000000000008E-001     1.435358443738552E-001  1.582160444847552E-001  3.464170901863182E-001  7.781288734430060E-001  3.438388474904226E-002  3.196079871213921E+000
    99      980  9.800000000000008E-001     1.440083677612775E-001  1.582949816891470E-001  3.455903691714811E-001  7.738147302709486E-001  3.412701607991868E-002  3.207436245165960E+000
   100      990  9.900000000000008E-001     1.444726065005916E-001  1.583734074610272E-001  3.447898483981653E-001  7.695302731453171E-001  3.388422785273976E-002  3.218202988018556E+000
   101     1000  1.000000000000001E+000     1.449286541568843E-001  1.584513054046817E-001  3.440146639028237E-001  7.652758021493791E-001  3.365466585472873E-002  3.228408673346366E+000
   102     1010  1.010000000000000E+000     1.453766077019870E-001  1.585286611694536E-001  3.432639815613481E-001  7.610515864073847E-001  3.343752585381570E-002  3.238081259183011E+000
   103     1020  1.019999999999998E+000     1.458165671470435E-001  1.586054622696865E-001  3.425369960318340E-001  7.568578654522471E-001  3.323205124393844E-002  3.247247980778856E+000
   104     1030  1.029999999999997E+000     1.462486351941616E-001  1.586816979178304E-001  3.418329297328956E-001  7.526948505783432E-001  3.303753073458044E-002  3.255935262668141E+000
   105     1040  1.039999999999996E+000     1.466729169066067E-001  1.587573588699729E-001  3.411510318566043E-001  7.485627261747559E-001  3.285329609090616E-002  3.264168648577965E+000
   106     1050  1.049999999999995E+000     1.470895193970124E-001  1.588324372830982E-001  3.404905774151250E-001  7.444616510347459E-001  3.267871993009389E-002  3.271972747638076E+000
   107     1060  1.059999999999994E+000     1.474985515330957E-001  1.589069265834065E-001  3.398508663201418E-001  7.403917596377275E-001  3.251321357870442E-002  3.279371195320926E+000
   108     1070  1.069999999999993E+000     1.479001236603670E-001  1.589808213450524E-001  3.392312224941724E-001  7.363531634005083E-001  3.235622499517062E-002  3.286386627548418E+000
   109     1080  1.079999999999992E+000     1.482943473413234E-001  1.590541171786849E-001  3.386309930128786E-001  7.323459518950165E-001  3.220723676076158E-002  3.293040666438609E+000
   110     1090  1.089999999999991E+000     1.486813351106098E-001  1.591268106291911E-001  3.380495472774911E-001  7.283701940302018E-001  3.206576414167366E-002  3.299353916225688E+000
   111     1100  1.099999999999990E+000     1.490612002456248E-001  1.591988990820679E-001  3.374862762164786E-001  7.244259391962241E-001  3.193135322423678E-002  3.305345967964222E+000
   112     1110  1.109999999999989E+000     1.494340565520406E-001  1.592703806778644E-001  3.369405915155933E-001  7.205132183694615E-001  3.180357912460475E-002  3.311035411718684E+000
   113     1120  1.119999999999987E+000     1.498000181637002E-001  1.593412542341566E-001  3.364119248754449E-001  7.166320451772370E-001  3.168204427372413E-002  3.316439855037424E+000
   114     1130  1.129999999999986E+000     1.501591993563449E-001  1.594115191745387E-001  3.358997272957562E-001  7.127824169215301E-001  3.156637677785192E-002  3.321575946612639E+000
   115     1140  1.139999999999985E+000     1.505117143746259E-001  1.594811754641312E-001  3.354034683854721E-001  7.089643155612514E-001  3.145622885441905E-002  3.326459404131622E+000
   116     1150  1.149999999999984E+000     1.508576772718436E-001  1.595502235511302E-001  3.349226356978979E-001  7.051777086529529E-001  3.135127534261248E-002  3.331105045427075E+000
   117     1160  1.159999999999983E+000     1.511972017618617E-001  1.596186643139433E-001  3.344567340900636E-001  7.014225502501021E-001  3.125121228767543E-002  3.335526822133689E+000
   118     1170  1.169999999999982E+000     1.515304010826414E-001  1.596864990134748E-001  3.340052851055170E-001  6.976987817612840E-001  3.115575559759938E-002  3.339737855153110E+000
   119     1180  1.179999999999981E+000     1.518573878708451E-001  1.597537292501517E-001  3.335678263797664E-001  6.940063327678917E-001  3.106463977060163E-002  3.343750471318744E+000
   120     1190  1.189999999999980E+000     1.521782740469620E-001  1.598203569252968E-001  3.331439110676064E-001  6.903451218020398E-001  3.097761669154639E-002  3.347576240735001E+000
   121     1200  1.199999999999979E+000     1.524931707104180E-001  1.598863842064832E-001  3.327331072915767E-001  6.867150570855857E-001  3.089445449527172E-002  3.351226014342073E+000
   122     1210  1.209999999999978E+000     1.528021880441383E-001  1.599518134965219E-001  3.323349976108190E-001  6.831160372312656E-001  3.081493649462710E-002  3.354709961327136E+000
   123     1220  1.219999999999976E+000     1.531054352280435E-001  1.600166474057585E-001  3.319491785096141E-001  6.795479519070484E-001  3.073886017090342E-002  3.358037606065848E+000
   124     1230  1.229999999999975E+000     1.534030203609723E-001  1.600808887273759E-001  3.315752599048983E-001  6.760106824648999E-001  3.066603622424574E-002  3.361217864334513E+000
   125     1240  1.239999999999974E+000     1.536950503905360E-001  1.601445404154191E-001  3.312128646720749E-001  6.725041025352051E-001  3.059628768157596E-002  3.364259078583417E+000
